x: 0.5, y: 0.8
x: 1.5, y: 1.031075923952102
x: 2.5, y: 0.7939473770246781
x: 3.5, y: 0.6149774544463119
x: 4.5, y: 0.4955198698310663
x: 5.5, y: 0.4129423680448116
x: 6.5, y: 0.35317874441713043
x: 7.5, y: 0.30817209766025544
x: 8.5, y: 0.2731593824951054
x: 9.5, y: 0.24519154907189564
x: 10.5, y: 0.22236052604843182
x: 11.5, y: 0.20338307544954914
x: 12.5, y: 0.18736692076847944
x: 13.5, y: 0.17367358189105017
x: 14.5, y: 0.16183472589360007
x: 15.5, y: 0.15149934646606997
x: 16.5, y: 0.1423993653503327
x: 17.5, y: 0.13432661037480642
x: 18.5, y: 0.12711702903232353
x: 19.5, y: 0.12063962670369556
x: 20.5, y: 0.11478856373677447
x: 21.5, y: 0.10947740991610558
x: 22.5, y: 0.10463490095469616
x: 23.5, y: 0.10020175912260565
x: 24.5, y: 0.09612827985190775
x: 25.5, y: 0.09237247775992535
x: 26.5, y: 0.088898646709294
x: 27.5, y: 0.085676230081524
x: 28.5, y: 0.08267892611780381
x: 29.5, y: 0.0798839732580267
x: 30.5, y: 0.07727157465525092
x: 31.5, y: 0.07482443127825436
x: 32.5, y: 0.07252736045448044
x: 33.5, y: 0.07036698217201567
x: 34.5, y: 0.068331459516547
x: 35.5, y: 0.06641028265941844
x: 36.5, y: 0.06459408811130754
x: 37.5, y: 0.0628745067082729
x: 38.5, y: 0.061244035143358175
x: 39.5, y: 0.05969592689929002
x: 40.5, y: 0.058224099250455325
x: 41.5, y: 0.05682305364014651
x: 42.5, y: 0.055487807242815275
x: 43.5, y: 0.054213833921345385
x: 44.5, y: 0.05299701310922116
x: 45.5, y: 0.051833585404473255
x: 46.5, y: 0.050720113869852264
x: 47.5, y: 0.04965345020215279
x: 48.5, y: 0.04863070507099579
x: 49.5, y: 0.047649222039917984
x: 50.5, y: 0.046706554575204985
x: 51.5, y: 0.045800445724392354
x: 52.5, y: 0.044928810109796616
x: 53.5, y: 0.0440897179352532
x: 54.5, y: 0.043281380748369576
x: 55.5, y: 0.04250213873760718
x: 56.5, y: 0.041750449374640404
x: 57.5, y: 0.04102487723872117
x: 58.5, y: 0.04032408488203051
x: 59.5, y: 0.039646824613897326
x: 60.5, y: 0.038991931097862066
x: 61.5, y: 0.038358314669312714
x: 62.5, y: 0.037744955293196915
x: 63.5, y: 0.03715089709142645
x: 64.5, y: 0.036575243378296186
x: 65.5, y: 0.03601715214975272
x: 66.5, y: 0.035475831978847364
x: 67.5, y: 0.03495053827534307
x: 68.5, y: 0.03444056987234186
x: 69.5, y: 0.03394526590706347
x: 70.5, y: 0.03346400296662738
x: 71.5, y: 0.032996192472944504
x: 72.5, y: 0.032541278283675694
x: 73.5, y: 0.03209873448871735
x: 74.5, y: 0.03166806338387525
x: 75.5, y: 0.031248793605327303
x: 76.5, y: 0.03084047841018738
x: 77.5, y: 0.03044269408999589
x: 78.5, y: 0.030055038505302743
x: 79.5, y: 0.02967712973069731
x: 80.5, y: 0.029308604800695855
x: 81.5, y: 0.028949118547836807
x: 82.5, y: 0.028598342525171547
x: 83.5, y: 0.028255964006085633
x: 84.5, y: 0.02792168505505328
x: 85.5, y: 0.027595221663525522
x: 86.5, y: 0.027276302945688103
x: 87.5, y: 0.026964670389305632
x: 88.5, y: 0.026660077157300448
x: 89.5, y: 0.026362287436102933
x: 90.5, y: 0.026071075827159992
x: 91.5, y: 0.025786226778303837
x: 92.5, y: 0.025507534051968078
x: 93.5, y: 0.025234800227495635
x: 94.5, y: 0.024967836235015906
x: 95.5, y: 0.024706460918579698
x: 96.5, y: 0.02445050062643186
x: 97.5, y: 0.02419978882647527
x: 98.5, y: 0.023954165745137715
x: 99.5, y: 0.023713478027996917
